PVC Instance Type,Recommended Nitro Instance Type,
m5n.4xlarge,m5n.4xlarge,FALSE
m5n.8xlarge,m5n.8xlarge,FALSE
m5n.12xlarge,m5n.12xlarge,FALSE
m5n.16xlarge,m5n.16xlarge,FALSE
m5n.24xlarge,m5n.24xlarge,FALSE
m5n.large,m5n.large,FALSE
m5n.xlarge,m5n.xlarge,FALSE
m5n.2xlarge,m5n.2xlarge,FALSE
m5n.4xlarge,m5n.4xlarge,FALSE
m5n.8xlarge,m5n.8xlarge,FALSE
m5n.12xlarge,m5n.12xlarge,FALSE
m5n.16xlarge,m5n.16xlarge,FALSE
m5dn.large,m5dn.large,FALSE
m5dn.xlarge,m5dn.xlarge,FALSE
m5dn.2xlarge,m5dn.2xlarge,FALSE
m5dn.4xlarge,m5dn.4xlarge,FALSE
m5dn.8xlarge,m5dn.8xlarge,FALSE
m5dn.12xlarge,m5dn.12xlarge,FALSE
m5dn.16xlarge,m5dn.16xlarge,FALSE
c5a.2xlarge,c5a.2xlarge,FALSE
c5a.4xlarge,c5a.4xlarge,FALSE
c5a.8xlarge,c5a.8xlarge,FALSE
c5a.xlarge,c5a.xlarge,FALSE
c5a.2xlarge,c5a.2xlarge,FALSE
c5a.4xlarge,c5a.4xlarge,FALSE
c5a.8xlarge,c5a.8xlarge,FALSE
c5a.12xlarge,c5a.12xlarge,FALSE
c5a.16xlarge,c5a.16xlarge,FALSE
c5a.24xlarge,c5a.24xlarge,FALSE
c5ad.xlarge,c5ad.xlarge,FALSE
c5ad.2xlarge,c5ad.2xlarge,FALSE
c5ad.4xlarge,c5ad.4xlarge,FALSE
c5ad.8xlarge,c5ad.8xlarge,FALSE
c5ad.12xlarge,c5ad.12xlarge,FALSE
c5ad.16xlarge,c5ad.16xlarge,FALSE
c5ad.24xlarge,c5ad.24xlarge,FALSE
c5a.xlarge,c5a.xlarge,FALSE
c5a.2xlarge,c5a.2xlarge,FALSE
c5a.4xlarge,c5a.4xlarge,FALSE
c5a.8xlarge,c5a.8xlarge,FALSE
c5a.12xlarge,c5a.12xlarge,FALSE
c5a.16xlarge,c5a.16xlarge,FALSE
c5ad.xlarge,c5ad.xlarge,FALSE
c5ad.2xlarge,c5ad.2xlarge,FALSE
c5ad.4xlarge,c5ad.4xlarge,FALSE
c5ad.8xlarge,c5ad.8xlarge,FALSE
c5ad.12xlarge,c5ad.12xlarge,FALSE
c5ad.16xlarge,c5ad.16xlarge,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.16xlarge,r5n.16xlarge,FALSE
r5n.large,r5n.large,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.12xlarge,r5n.12xlarge,FALSE
r5n.16xlarge,r5n.16xlarge,FALSE
r5n.24xlarge,r5n.24xlarge,FALSE
r5dn.large,r5dn.large,FALSE
r5dn.xlarge,r5dn.xlarge,FALSE
r5dn.2xlarge,r5dn.2xlarge,FALSE
r5dn.4xlarge,r5dn.4xlarge,FALSE
r5dn.8xlarge,r5dn.8xlarge,FALSE
r5dn.12xlarge,r5dn.12xlarge,FALSE
r5dn.16xlarge,r5dn.16xlarge,FALSE
r5dn.24xlarge,r5dn.24xlarge,FALSE
r5n.large,r5n.large,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.12xlarge,r5n.12xlarge,FALSE
r5n.16xlarge,r5n.16xlarge,FALSE
r5n.24xlarge,r5n.24xlarge,FALSE
r5n.large,r5n.large,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.12xlarge,r5n.12xlarge,FALSE
r5n.16xlarge,r5n.16xlarge,FALSE
r5dn.large,r5dn.large,FALSE
r5dn.xlarge,r5dn.xlarge,FALSE
r5dn.2xlarge,r5dn.2xlarge,FALSE
r5dn.4xlarge,r5dn.4xlarge,FALSE
r5dn.8xlarge,r5dn.8xlarge,FALSE
r5dn.12xlarge,r5dn.12xlarge,FALSE
r5dn.16xlarge,r5dn.16xlarge,FALSE
i4i.large,i4i.large,FALSE
i4i.xlarge,i4i.xlarge,FALSE
i4i.2xlarge,i4i.2xlarge,FALSE
i4i.4xlarge,i4i.4xlarge,FALSE
i4i.8xlarge,i4i.8xlarge,FALSE
i4i.16xlarge,i4i.16xlarge,FALSE
i3en.xlarge,i3en.xlarge,FALSE
i3en.2xlarge,i3en.2xlarge,FALSE
i3en.3xlarge,i3en.3xlarge,FALSE
i3en.6xlarge,i3en.6xlarge,FALSE
g4ad.4xlargeGPU,g4ad.4xlargeGPU,FALSE
g4ad.8xlargeGPU,g4ad.8xlargeGPU,FALSE
g4ad.16xlargeGPU,g4ad.16xlargeGPU,FALSE
g4ad.4xlargeGPU,g4ad.4xlargeGPU,FALSE
g4ad.8xlargeGPU,g4ad.8xlargeGPU,FALSE
g4ad.16xlargeGPU,g4ad.16xlargeGPU,FALSE
g4dn.xlargeGPU,g4dn.xlargeGPU,FALSE
g4dn.2xlargeGPU,g4dn.2xlargeGPU,FALSE
g4dn.4xlargeGPU,g4dn.4xlargeGPU,FALSE
g4dn.8xlargeGPU,g4dn.8xlargeGPU,FALSE
g4dn.12xlargeGPU,g4dn.12xlargeGPU,FALSE
g4dn.16xlargeGPU,g4dn.16xlargeGPU,FALSE
p3dn.24xlargeGPU,p3dn.24xlargeGPU,FALSE
p3dn.24xlargeGPU,p3dn.24xlargeGPU,FALSE
r5n.large,r5n.large,FALSE
r5n.xlarge,r5n.xlarge,FALSE
r5n.2xlarge,r5n.2xlarge,FALSE
r5n.4xlarge,r5n.4xlarge,FALSE
r5n.8xlarge,r5n.8xlarge,FALSE
r5n.12xlarge,r5n.12xlarge,FALSE
